Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"0.1uF","Capacitors_SMD:C_0805","~"
C2 C3 ,2,"22pF","Capacitors_SMD:C_0805","~"
C4 ,1,"10uF","Capacitors_SMD:CP_Elec_4x5.7","~"
C6 C7 C11 C10 ,4,"1uF","Capacitors_SMD:C_0805","~"
C8 ,1,"10uF","Capacitors_SMD:CP_Elec_4x5.8","~"
C9 C5 ,2,"100n","Capacitors_SMD:C_0805","~"
D10 ,1,"CD_HD2004","custom_Library:CD-HD2004","~"
D3 D4 D1 D2 ,4,"DW2W31900L","Diodes_SMD:D_SOD-123F","~"
D5 ,1,"CD1206-SO1575","Diodes_SMD:D_SOD-123F","~"
D6 ,1,"RED_PWR","LEDs:LED_0805","~"
D7 ,1,"GREEN","LEDs:LED_0805","~"
D8 ,1,"YELLOW","LEDs:LED_0805","~"
D9 ,1,"BLUE_MTR","LEDs:LED_0805","~"
F1 ,1,"1A25_3A_Polyfuse","Resistors_SMD:R_1210","~"
F3 F4 F2 ,3,"0A35_0A7_Polyfuse","Resistors_SMD:R_1206","~"
F5 ,1,"0A5_1A_Polyfuse","Resistors_SMD:R_1206","~"
J1 ,1,"USB_Supply","Connectors:USB_Micro-B"," ~"
J10 ,1,"ISP","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm"," ~"
J11 ,1,"USB_OTG","Connectors:USB_Micro-B"," ~"
J12 ,1,"X_AXIS","Connectors_JST:JST_XH_S05B-XH-A_05x2.50mm_Angled","~"
J13 ,1,"Y_AXIS","Connectors_JST:JST_XH_S05B-XH-A_05x2.50mm_Angled","~"
J14 ,1,"Z_AXIS","Connectors_JST:JST_XH_S05B-XH-A_05x2.50mm_Angled","~"
J2 ,1,"USB_POWER OUT","Connectors:USB_A"," ~"
J3 ,1,"END_STOPS","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","~"
J4 ,1,"I2C Header","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","~"
J5 ,1,"Serial1 Header","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","~"
J6 ,1,"I/O","Pin_Headers:Pin_Header_Straight_2x06_Pitch2.54mm","~"
J7 ,1,"Power Pack","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","~"
J8 ,1,"J_AUX","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","~"
J9 ,1,"ULN_AUX","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm","~"
L1 L2 ,2,"Ferrite_Bead","Resistors_SMD:R_0805_HandSoldering","~"
MH1 MH2 MH3 MH4 ,4,"MountingHole","custom_Library:3.1_hole","~"
R3 R4 ,2,"22","Resistors_SMD:R_0805","~"
R5 R6 R2 R1 ,4,"10K","Resistors_SMD:R_0805","~"
RN1 ,1,"1K","Resistors_SMD:R_Array_Concave_4x0603","~"
RV2 RV1 ,2,"Varistor","Resistors_SMD:R_0603","~"
TP1 TP2 TP3 ,3,"TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Small","~"
U1 ,1,"ATmega32U4-MU","Housings_QFP:TQFP-44-1EP_10x10mm_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
U2 U3 ,2,"ULN2003A","digikey-footprints:SOIC-16_W3.90mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
Y1 ,1,"16MHz","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","~"
~RST1 ,1,"Reset","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""